"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CA4",703.68994950951,-9.39970053051407,0.686000379510754,-12.2444546408336,1.79882150079592e-34,3.10854343552544e-30
"ATP1A2",5050.25301489267,-8.28626419843324,0.789972613977136,-9.22343897689107,2.87721100142173e-20,2.48605416577844e-16
"MMP13",405.365560087505,8.14333468739078,0.789336614489807,9.04979517769858,1.4323676214226e-19,8.25091495526801e-16
"HBB",7422.54459681471,-7.3221883203974,0.75115723726376,-8.41659775978093,3.87575596465013e-17,1.67442347062797e-13
"COL11A1",9281.82763020736,9.66860817137243,1.12086350223095,7.73386603642507,1.04328818230626e-14,3.60581261568691e-11
"ATOH8",705.954015961973,-4.67536949801901,0.488328685049698,-7.52642556241595,5.21481865002882e-14,1.50195468485247e-10
"COL10A1",4375.94741759555,7.03381190159957,0.814682844550709,7.40633234387938,1.29840206360295e-13,3.20538372301751e-10
"LEP",13342.7487133952,-9.18731748140263,1.11490744131015,-7.34349523381199,2.08086810912163e-13,4.49493522421636e-10
"GJB2",2326.08495167314,6.02620659666878,0.687267282880548,7.31332150077392,2.60618441182499e-13,5.00416364674974e-10
"MMP11",9462.43123735481,6.4436252907971,0.755955228375477,7.20098900895926,5.97773666363964e-13,1.03301267284357e-09
"BTNL9",4908.12673260865,-6.23419716109992,0.729829906492269,-7.17180416222826,7.40157730106662e-13,1.16166011348062e-09
"HBA2",4687.2998309208,-6.5556608907593,0.775928286947978,-7.16001850198275,8.06661730326223e-13,1.16166011348062e-09
"MYOC",905.990877684197,-8.96404751159623,1.12527393776851,-7.07742998774985,1.46852340620497e-12,1.95211946020217e-09
"HEPACAM",637.771841371337,-9.16453643756564,1.16054020382019,-7.03511727615308,1.99093475096741e-12,2.45752453081913e-09
"AQPEP",1292.40875668257,-8.24474236096355,1.0393089688831,-6.97073014654068,3.15300255857455e-12,3.63246914764845e-09
"HSD17B13",503.417901109932,-7.11263319452382,0.879517649870807,-6.94998354543733,3.65328820933365e-12,3.94577959659343e-09
"FHL1",46822.3501202284,-5.8925498851021,0.70940610719181,-6.89668419189299,5.32303350148929e-12,5.23934172164764e-09
"CIDEC",15580.9293209575,-8.8630074727516,1.14081699925936,-6.89243540187111,5.48452001164793e-12,5.23934172164764e-09
"CFD",10647.416866439,-6.16551539472328,0.750207384992135,-6.88544994098856,5.7605169093979e-12,5.23934172164764e-09
"AKR1C2",7138.50577063993,-5.42710788122548,0.648696679867923,-6.82461929992744,8.81587865412325e-12,7.61735995109519e-09
"AQP7",5638.39472753208,-8.18929863420577,1.06026844231708,-6.78064002215746,1.19644653556007e-11,9.57658717037892e-09
"SOD3",3561.38066100009,-4.42991781121332,0.506042719610879,-6.77792146451737,1.21917086828503e-11,9.57658717037892e-09
"CES1",5781.81326884817,-4.89901852705559,0.577418063135176,-6.75250529206741,1.45313760869856e-11,1.09181178330086e-08
"PCK1",5939.33412227226,-9.02033831818963,1.19530847089205,-6.70984813836728,1.94827065830142e-11,1.40283605192112e-08
"LYVE1",4890.22977400022,-6.33733509316189,0.796208905035575,-6.70343556748265,2.03575482409071e-11,1.40719516460446e-08
"ADAMTS14",154.320791653432,4.21902460607953,0.481147967232495,6.69030075008936,2.2271240727781e-11,1.48026658083378e-08
"LIPE",22171.3469282574,-6.91481720442779,0.891700718490896,-6.63318654092593,3.28516200306561e-11,2.10262535462877e-08
"FGF2",3226.29195655846,-4.23013149147245,0.487600774720093,-6.62454134394413,3.48328018162974e-11,2.1498058863837e-08
"SCN4A",971.278875223052,-5.96249485817247,0.751653933016821,-6.6021005680834,4.05372351218973e-11,2.41559986255692e-08
"RBP4",11267.6160787519,-7.98829439888246,1.06485023530953,-6.56270165245452,5.28415077841343e-11,3.04384698672542e-08
"CST1",439.02464147324,10.038662927843,1.38589523764982,6.52189478850557,6.94247088246374e-11,3.87009159096309e-08
"SCN3A",181.974736774683,-3.40299044367311,0.368825359339817,-6.51525276888327,7.25673537417138e-11,3.91886387503299e-08
"C14orf180",1156.54750790892,-8.58399024031518,1.16737152647779,-6.49663801823031,8.2134764987357e-11,4.2758326154332e-08
"MLXIPL",1748.25722069841,-6.18685668951215,0.798925822792101,-6.49228819690046,8.45423307754029e-11,4.2758326154332e-08
"SLC2A4",2379.3375643484,-7.31355152013022,0.973012431976937,-6.48866480287671,8.66003943869926e-11,4.2758326154332e-08
"SDPR",4264.41453264075,-4.58746440317858,0.553648368027279,-6.47968026341553,9.19171914822446e-11,4.41228051667964e-08
"MYH1",166.707101834421,-7.16158722913276,0.95839883217231,-6.42904292273279,1.28409867392432e-10,5.9974349146179e-08
"ACSM5",940.007829577448,-6.26846586336543,0.826688853586892,-6.37297314522418,1.85398359123222e-10,8.4312343263379e-08
"PLIN4",91672.8683243735,-7.93708858854508,1.0918184536969,-6.35370153806807,2.10194483068859e-10,9.18050399432762e-08
"MAP1LC3C",296.866511724756,-5.65844862839845,0.733380133542366,-6.35202457134645,2.12499369118167e-10,9.18050399432762e-08
"ITIH5",13892.67492691,-4.92917827508268,0.620072684826201,-6.33664144741997,2.34827600380935e-10,9.89769698093401e-08
"TIMP4",6425.16880284052,-7.7260740882565,1.07469615083542,-6.25858209599796,3.88493371214061e-10,1.59846522570243e-07
"KIAA1199",890.68376793482,5.86991323964673,0.783473209009616,6.21580059617196,5.10636169889496e-10,2.05216363996753e-07
"G0S2",8479.85930157702,-6.47284681508998,0.881497095319913,-6.20858179130332,5.34648940544812e-10,2.09983371398975e-07
"CPA1",89.1090541511921,-8.84048262151979,1.26741123717099,-6.18621832564832,6.16246451062895e-10,2.36652331573731e-07
"FAM107A",2431.42768510289,-4.3631818007987,0.546092780833543,-6.15862710300843,7.33782789483805e-10,2.7566305184934e-07
"HSD17B6",155.515902218699,3.65761332167139,0.432595685038629,6.14341153549434,8.07676633994553e-10,2.96967232171487e-07
